t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
8.21358,0.00000,-0.71372,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
8.31374,0.00000,-0.71285,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
8.41391,0.00000,-0.71197,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
8.51407,0.00000,-0.71110,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
8.61424,0.00000,-0.71022,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
8.71440,0.00000,-0.70935,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
8.81457,0.00000,-0.70848,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
8.91474,0.00000,-0.70760,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.01490,0.00000,-0.70673,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.11507,0.00000,-0.70585,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.21523,0.00000,-0.70498,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.31540,0.00000,-0.70411,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.41556,0.00000,-0.70323,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.51573,0.00000,-0.70236,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.61589,0.00000,-0.70148,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.71606,0.00000,-0.70061,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.81623,0.00000,-0.69974,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
9.91639,0.00000,-0.69886,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
10.01656,0.00000,-0.69799,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
